date,price
12/30/2020,74.6769
12/29/2020,73.7651
12/28/2020,73.7895
12/25/2020,74.1945
12/24/2020,73.9798
12/23/2020,74.9568
12/22/2020,75.4428
12/21/2020,75.137
12/18/2020,73.5329
12/17/2020,72.865
12/16/2020,73.5765
12/15/2020,73.5893
12/14/2020,73.3374
12/11/2020,73.056
12/10/2020,73.073
12/9/2020,73.7169
12/8/2020,73.3988
12/7/2020,73.5295
12/4/2020,73.9106
12/3/2020,74.3841
12/2/2020,75.241
12/1/2020,75.6358
11/30/2020,76.3634
11/27/2020,76.0128
11/26/2020,75.6412
11/25/2020,75.8501
11/24/2020,75.7706
11/23/2020,76.3755
11/20/2020,76.1186
11/19/2020,76.2335
11/18/2020,76.0116
11/17/2020,76.4041
11/16/2020,76.4761
11/13/2020,77.6204